ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV2919,42.64630038,,,,
ASV2920,-2.489392182,,,,
ASV2922,-17.60628631,,,,
ASV2924,2.636846377,,,,
ASV2927,-5.39158934,,,,
ASV2930,-0.448039382,0.834512707,-0.536887429,0.592323145,0.919119668
ASV2933,1.685028184,,,,
ASV2934,-0.02672581,0.613260085,-0.043579895,0.965310525,0.999356989
ASV2936,2.176936697,,,,
ASV2944,-2.598625167,,,,
ASV2949,-2.675813305,,,,
ASV2952,5.84242596,,,,
ASV2978,-0.065798935,0.535954075,-0.122769726,0.902491462,0.991293937
ASV2983,0.947081315,,,,
ASV2987,-0.032296769,,,,
ASV2999,-17.47627733,,,,
ASV3004,2.34246993,0.967258078,2.42176311,0.016916772,0.175048041
ASV3012,2.20833741,,,,
ASV3016,2.539670247,,,,
ASV3018,1.068185446,,,,
ASV3021,2.247028119,3.630315955,0.618962136,0.53709536,
ASV3022,2.211655697,,,,
ASV3039,1.333902939,1.096812998,1.216162593,0.226270818,0.722435052
ASV3048,1.774879611,,,,
ASV3060,-22.89144568,,,,
ASV3063,0.909905189,0.983548347,0.925125025,0.356727187,0.835900552
ASV3066,-19.29041252,,,,
ASV3081,0.184600818,,,,
ASV3087,-19.28409876,,,,
ASV3088,-1.003691024,,,,
ASV3089,-4.03410596,,,,
ASV3101,-1.972862364,,,,
ASV3102,20.10617756,,,,
ASV3105,3.86922576,,,,
ASV3110,2.839538559,,,,
ASV3113,-2.245283463,,,,
ASV3117,0.854724274,0.891558866,0.958685183,0.339613404,0.82755967
ASV3122,-0.161224842,,,,
ASV3125,-1.471217848,,,,
ASV3130,-0.348828125,0.833184835,-0.418668356,0.676194651,
ASV3141,-1.487647364,,,,
ASV3152,-0.454056981,0.922682357,-0.492105411,0.623529172,
ASV3164,-20.4904819,,,,
ASV3167,-0.358942735,0.862921486,-0.415962217,0.67816844,0.95014982
ASV3182,-18.97351953,,,,
ASV3202,-1.868318005,,,,
ASV3207,3.006436324,1.715589246,1.752421992,0.082213591,0.442423391
ASV3211,1.497669373,0.810368759,1.848133156,0.067004803,0.390799126
ASV3215,-0.796980305,,,,
ASV3217,2.766111074,,,,
ASV3222,1.08974202,,,,
ASV3233,-0.775184333,,,,
ASV3237,4.106619475,,,,
ASV3253,-2.498216936,,,,
ASV3260,0.261073093,,,,
ASV3272,-14.26031192,,,,
ASV3280,3.445475849,,,,
ASV3294,2.610416067,1.208720841,2.15965174,0.032755975,0.270242001
ASV3295,-0.861431892,,,,
ASV3308,-2.178184168,,,,
ASV3314,-0.46162502,0.445509183,-1.036173973,0.30217043,0.799675421
ASV3318,-2.990943014,,,,
ASV3319,-19.25645357,,,,
ASV3321,1.634971587,,,,
ASV3330,2.491418534,,,,
ASV3338,-20.27557529,,,,
ASV3341,-18.61642059,,,,
ASV3343,4.422048425,,,,
ASV3352,0.49865765,0.409885912,1.216576699,0.226113711,0.722435052
ASV3363,1.028349892,,,,
ASV3364,-17.54825046,,,,
ASV3365,0.537478852,,,,
ASV3378,0.784604787,,,,
ASV3396,2.48311285,,,,
ASV3400,-19.59201419,,,,
ASV3406,-1.981082336,,,,
ASV3409,-0.70481412,,,,
ASV3410,-0.819812076,,,,
ASV3412,-27.13626217,,,,
ASV3418,-20.19766321,,,,
ASV3424,-18.39376506,,,,
ASV3427,-18.08014312,,,,
ASV3428,2.116649713,,,,
ASV3437,23.3065072,,,,
ASV3444,3.80074995,,,,
ASV3446,-2.991893446,,,,
ASV3450,-19.20557208,,,,
ASV3471,0.414844494,1.183205105,0.350610805,0.726485006,0.969817912
ASV3472,-1.093357783,,,,
ASV3477,-4.87764608,,,,
ASV3479,0.149766835,0.910385477,0.164509253,0.869602516,0.991293937
ASV3480,-2.504378862,,,,
ASV3482,-0.40489311,,,,
ASV3492,0.159976883,1.350247872,0.118479641,0.905882483,0.991293937
ASV3494,-0.67536899,,,,
ASV3509,0.817553169,,,,
ASV3511,1.849668221,2.737958327,0.675564782,0.500595506,0.894113872
ASV3516,-16.65188432,,,,
ASV3519,-0.275709503,0.247566348,-1.113679241,0.267606163,0.773881503
ASV3521,-5.879656459,,,,
ASV3523,3.337999715,,,,
ASV3525,-2.074644971,,,,
ASV3535,-20.09423376,,,,
ASV3537,-2.92138593,1.936778116,-1.508374091,0.134044143,
ASV3545,-20.85350936,,,,
ASV3546,2.344101961,,,,
ASV3548,-3.682235766,,,,
ASV3549,2.698924676,,,,
ASV3550,-1.178142054,,,,
ASV3554,3.078497697,,,,
ASV3570,-2.311654477,,,,
ASV3583,16.95404217,,,,
ASV3588,0.18581323,1.238965699,0.149974475,0.881032414,0.991293937
ASV3598,-19.19258454,,,,
ASV3606,-2.434093699,,,,
ASV3607,-1.148120653,,,,
ASV3608,-0.201510319,,,,
ASV3610,3.719918594,,,,
ASV3611,-2.298281413,1.172490985,-1.960169795,0.052255483,
ASV3613,-19.382045,,,,
ASV3619,1.086034399,,,,
ASV3623,-0.60068236,,,,
ASV3627,-1.210928093,,,,
ASV3631,-1.918234218,1.507125521,-1.272776681,0.205517484,
ASV3645,0.470201441,0.792121457,0.593597657,0.553880213,0.919028871
ASV3656,-1.289084768,,,,
ASV3658,-16.75869821,,,,
ASV3663,-0.052278358,1.390425104,-0.03759883,0.970068995,0.999356989
ASV3665,-19.81143988,,,,
ASV3678,-2.35474911,,,,
ASV3681,-23.06054487,,,,
ASV3722,1.70504238,0.536413933,3.178594505,0.001875647,0.033544619
ASV3725,-2.527420676,,,,
ASV3738,24.14531067,,,,
ASV3739,-1.975331175,,,,
ASV3741,-0.221529621,,,,
ASV3754,-19.39636425,,,,
ASV3766,0.438766392,,,,
ASV3774,1.469432727,1.45195942,1.012034294,0.313524595,0.806989434
ASV3776,-1.922126991,1.738958026,-1.105332597,0.271190533,
